id,code,icao,name,latitude,longitude,elevation,url,time_zone,city_code,country,city,state,county,type
18705,YCJ,,Cape St James,51.933334,-131.01666,"0",,America/Vancouver,YCJ,CA,,,,AP
18706,YCK,CYVL,Tommy Kochon Airport,67.02074845,-126.12863549570841,869,,America/Yellowknife,YCK,CA,Colville Lake,,,AP
18707,YCL,CYCL,Charlo Airport,47.990799,-66.3302994,132,,America/Moncton,YCL,CA,Charlo,Quebec,Gaspesie-Iles-de-la-Madeleine,AP
18708,YCM,CYSN,Niagara District Airport,43.192976900000005,-79.17194175161795,321,,America/Toronto,YCM,CA,St Catharines,Ontario,,AP
18709,YCN,CYCN,Cochrane Airport,49.10794825,-81.01621235324185,861,,America/Toronto,YCN,CA,Cochrane,,,AP
18710,YCO,CYCO,Kugluktuk Airport,67.81699259999999,-115.14514387808345,74,,America/Cambridge_Bay,YCO,CA,Kugluktuk,,,AP
18711,YCQ,CYCQ,Chetwynd Airport,55.6871986,-121.626998,2000,,America/Dawson_Creek,YCQ,CA,Chetwynd,,,AP
18712,YCR,CYCR,Cross Lake (Charlie Sinclair Memorial) Airport,54.6089003,-97.7675598,709,,America/Winnipeg,YCR,CA,Cross Lake,,,AP
18713,YCS,CYCS,Chesterfield Inlet Airport,63.3479211,-90.73376927744059,32,,America/Rankin_Inlet,YCS,CA,Chesterfield Inlet,,,AP
18714,YCT,CYCT,Coronation Airport,52.0747079,-111.44789331265046,2595,,America/Edmonton,YCT,CA,Coronation,Alberta,,AP
18715,YCU,ZBYC,Yuncheng Zhangxiao Airport,35.018,110.993,1242,,Asia/Shanghai,YCU,CN,Yuncheng,Shanxi Sheng,,AP
18716,YCV,,Cartierville,45.516666,-73.75,"0",,America/Montreal,YCV,CA,,,,AP
18717,YCW,CYCW,Chilliwack Airport,49.166668,-121.9,32,,America/Vancouver,YCW,CA,Chilliwack,British Columbia,Fraser Valley Regional District,AP
18718,YCX,,Gagetown,45.766666,-66.166664,"0",,America/Moncton,YCX,CA,,,,AP
18719,YCY,CYCY,Clyde River Airport,70.416664,-68.5,87,,America/Iqaluit,YCY,CA,Clyde River,,,AP
18720,YCZ,CYCZ,Fairmont Hot Springs Airport,50.3280976,-115.87288439005582,2661,,America/Edmonton,YCZ,CA,Fairmont Hot Springs,British Columbia,,AP
18721,YDA,CYDA,Dawson City Airport,64.04402830000001,-139.12349875910493,1215,,America/Dawson,YDA,CA,Dawson City,,,AP
18722,YDB,CYDB,Burwash Airport,61.35,-139.01666,2647,,America/Whitehorse,YDB,CA,Burwash,,,AP
18723,YDC,CER3,Drayton Valley Industrial Airport,53.2,-114.96667,2776,,America/Edmonton,YDC,CA,Drayton Valley,Alberta,,AP
18724,YDE,,Paradise River,53.433334,-57.233334,"0",,America/Goose_Bay,YDE,CA,,,,AP
18725,YDF,CYDF,Deer Lake Airport,49.21027,-57.399727,72,,America/St_Johns,YDF,CA,Deer Lake,,,AP
18726,YDG,CYID,Digby / Annapolis Regional Airport,44.61667,-65.76667,499,,America/Halifax,YDG,CA,Digby,Nova Scotia,,AP
18727,YDH,,Daniels Harbour,50.216667,-57.583332,"0",,America/St_Johns,YDH,CA,,,,AP
18728,YDI,,Davis Inlet,55.933334,-60.95,"0",,America/Goose_Bay,YDI,CA,,,,AP
18729,YDJ,CJL2,Hatchet Lake Airport,58.660557,-102.539444,1362,,America/Regina,YDJ,CA,Hatchet Lake,,,AP
18730,YDK,,Main Duck Island,43.933334,-76.61667,"0",,America/Toronto,YDK,CA,,,,AP
18731,YDL,CYDL,Dease Lake Airport,58.583332,-130.03334,2600,,America/Vancouver,YDL,CA,Dease Lake,,,AP
18732,YDN,CYDN,Dauphin Barker Airport,51.1,-100.05,999,,America/Winnipeg,YDN,CA,Dauphin,Manitoba,,AP
18733,YDO,CYDO,Dolbeau-Saint-Felicien Airport,48.86667,-72.23333,372,,America/Montreal,YDO,CA,Dolbeau-St-FÃ©licien,Quebec,Saguenay/Lac-Saint-Jean,AP
18734,YDP,CYDP,Nain Airport,56.55111965,-61.682021423249765,22,,America/Goose_Bay,YDP,CA,Nain,,,AP
18735,YDQ,CYDQ,Dawson Creek Airport,55.7414723,-120.18246225853473,2148,,America/Dawson_Creek,YDQ,CA,Dawson Creek,British Columbia,Peace River Regional District,AP
18736,YDR,,Broadview,50.36667,-102.583336,"0",,America/Regina,YDR,CA,Esterhazy,Saskatchewan,,AP
18737,YDS,,Desolation Sound,49.965996,-124.72931,"0",,America/Vancouver,YDS,CA,,,,AP
18738,YDT,CZBB,Boundary Bay Airport,49.183334,-123.183334,6,http://http://czbb.com/,America/Vancouver,YVR,CA,Vancouver,,,AP
18739,YDU,CJL8,Kasba Lake Airport,60.2919006,-102.501998,1131,,America/Yellowknife,YDU,CA,Kasba Lake,,,AP
18740,YDV,CZTA,Bloodvein River Airport,51.7825305,-96.69189650331379,721,,America/Winnipeg,YDV,CA,Bloodvein River,,,AP
18741,YDW,CKV4,North of Sixty Airport,60.3203011,-103.126998,1195,,America/Yellowknife,YDW,CA,Obre Lake,,,AP
18742,YDX,,Doc Creek,52.05,-128.08333,"0",,America/Vancouver,YDX,CA,,,,AP
18743,YEB,CPF2,Bar River Airport,46.417639300000005,-84.09847131915903,591,,America/Toronto,YEB,CA,Bar River,Ontario,Algoma,AP
18744,YEC,RKTY,Yecheon Airbase,36.628844799999996,128.353105602085,354,,Asia/Seoul,YEC,KR,Yecheon-ri,Gyeongsangbuk-do,,AP
18745,YED,,Namao Field,53.5,-113.5,"0",,America/Edmonton,YEA,CA,,,,AP
18746,YEG,CYEG,Edmonton International Airport,53.3072596,-113.5838087,2373,http://www.edmontonairports.com/,America/Edmonton,YEA,CA,Edmonton,Alberta,,AP
18747,YEH,,Yinchuan Yueyahu Airport,38.4822,106.0094,3770,,Asia/Shanghai,YEH,CN,Yinchuan,Ningxia Huizu Zizhiqu,,AP
18748,YEI,LTBR,Bursa YeniÅŸehir Airport,40.25584005,29.56209181082114,764,,Europe/Istanbul,YEI,TR,Bursa,Bursa,,AP
18749,YEK,CYEK,Arviat Airport,61.0940808,-94.07115802275632,32,,America/Rankin_Inlet,YEK,CA,Arviat,,,AP
18750,YEL,CYEL,Elliot Lake Municipal Airport,46.351316499999996,-82.55883994950281,1087,http://cyelont.tripod.com/cyel/,America/Toronto,YEL,CA,Elliot Lake,,,AP
18751,YEM,CYEM,Manitoulin East Municipal Airport,45.842777,-81.858055,869,,America/Toronto,YEM,CA,Manitowaning,Ontario,,AP
18752,YEN,CYEN,Estevan Airport,49.166668,-102.98333,1905,,America/Regina,YEN,CA,Estevan,Saskatchewan,,AP
18753,YEO,EGDY,RNAS Yeovilton,51.016666,-2.55,75,,Europe/London,YEO,GB,Yeovil,England,Dorset,AP
18754,YEP,,Estevan Point,49.38333,-126.53333,"0",,America/Vancouver,YEP,CA,,,,AP
18755,YEQ,AYYK,Yenkis(Yankisa) Airport,-5.10940055,143.9173608942616,3692,,Pacific/Port_Moresby,YEQ,PG,Wabag,Enga,,AP
18756,YER,CYER,Fort Severn Airport,56.033333,-87.833336,48,,America/Toronto,YER,CA,Fort Severn,,,AP
18757,YES,OISY,Yasuj Airport,30.699774,51.55276,5939,,Asia/Tehran,YES,IR,Yasouj,Kohgiluyeh va Buyer Ahmad,,AP
18758,YET,CYET,Edson Airport,53.57913155,-116.46673278027205,3043,,America/Edmonton,YET,CA,Edson,Alberta,,AP
18759,YEU,CYEU,Eureka Airport,79.9941331,-85.80846870855433,256,,America/Rankin_Inlet,YEU,CA,Eureka,,,AP
18760,YEV,CYEV,Inuvik Mike Zubko Airport,68.30665,-133.49767,224,,America/Inuvik,YEV,CA,Inuvik,,,AP
18761,YEY,CYEY,Amos/Magny Airport,48.552223,-78.25,1068,,America/Montreal,YEY,CA,Amos,Quebec,Abitibi-Temiscamingue,AP
18762,YFA,CYFA,Fort Albany Airport,52.24167,-81.59167,48,,America/Toronto,YFA,CA,Fort Albany,,,AP
18763,YFB,CYFB,Iqaluit Airport,63.757401900000005,-68.55238356809608,110,,America/Iqaluit,YFB,CA,Iqaluit,,,AP
18764,YFC,CYFC,Fredericton Airport,45.87018365,-66.53510204365679,68,,America/Moncton,YFC,CA,Fredericton,New Brunswick,,AP
18765,YFE,CYFE,Forestville Airport,48.7455867,-69.0880375,293,,America/Montreal,YFE,CA,Forestville,Quebec,Cote-Nord,AP
